FullGeoName_x,YEAR_x,STATE,RATE_x,DEATHS_x,FullGeoName_y,YEAR_y,RATE_y,DEATHS_y,URL
Az,2014,AZ,18.0,"1,244",Az,2020,17.6,1363,/nchs/pressroom/states/arizona/az.htm
Az,2014,AZ,18.0,"1,244",Az,2019,18.7,1419,/nchs/pressroom/states/arizona/az.htm
Az,2014,AZ,18.0,"1,244",Az,2018,19.2,1438,/nchs/pressroom/states/arizona/az.htm
Az,2014,AZ,18.0,"1,244",Az,2017,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Az,2014,AZ,18.0,"1,244",Az,2016,17.7,"1,271",/nchs/pressroom/states/arizona/arizona.htm
Az,2014,AZ,18.0,"1,244",Az,2015,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Az,2014,AZ,18.0,"1,244",Az,2014,18.0,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Az,2014,AZ,18.0,"1,244",Az,2005,16.4,945,/nchs/pressroom/states/arizona/arizona.htm
Az,2005,AZ,16.4,945,Az,2021,19.5,1475,/nchs/pressroom/states/arizona/az.htm
Az,2005,AZ,16.4,945,Az,2020,17.6,1363,/nchs/pressroom/states/arizona/az.htm
Az,2005,AZ,16.4,945,Az,2019,18.7,1419,/nchs/pressroom/states/arizona/az.htm
Az,2005,AZ,16.4,945,Az,2018,19.2,1438,/nchs/pressroom/states/arizona/az.htm
Az,2005,AZ,16.4,945,Az,2017,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Az,2005,AZ,16.4,945,Az,2016,17.7,"1,271",/nchs/pressroom/states/arizona/arizona.htm
Az,2005,AZ,16.4,945,Az,2015,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Az,2005,AZ,16.4,945,Az,2014,18.0,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Az,2005,AZ,16.4,945,Az,2005,16.4,945,/nchs/pressroom/states/arizona/arizona.htm
Ar,2021,AR,20.6,618,Ar,2021,20.6,618,/nchs/pressroom/states/arkansas/ar.htm
Ar,2021,AR,20.6,618,Ar,2020,19.0,583,/nchs/pressroom/states/arkansas/ar.htm
Ar,2021,AR,20.6,618,Ar,2019,18.0,548,/nchs/pressroom/states/arkansas/ar.htm
Ar,2021,AR,20.6,618,Ar,2018,18.3,554,/nchs/pressroom/states/arkansas/ar.htm
Ar,2021,AR,20.6,618,Ar,2017,20.8,631,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2021,AR,20.6,618,Ar,2016,18.2,555,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2021,AR,20.6,618,Ar,2015,19.1,577,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2021,AR,20.6,618,Ar,2014,17.3,515,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2021,AR,20.6,618,Ar,2005,14.3,400,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2020,AR,19.0,583,Ar,2021,20.6,618,/nchs/pressroom/states/arkansas/ar.htm
Ar,2020,AR,19.0,583,Ar,2020,19.0,583,/nchs/pressroom/states/arkansas/ar.htm
Ar,2020,AR,19.0,583,Ar,2019,18.0,548,/nchs/pressroom/states/arkansas/ar.htm
Ar,2020,AR,19.0,583,Ar,2018,18.3,554,/nchs/pressroom/states/arkansas/ar.htm
Ar,2020,AR,19.0,583,Ar,2017,20.8,631,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2020,AR,19.0,583,Ar,2016,18.2,555,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2020,AR,19.0,583,Ar,2015,19.1,577,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2020,AR,19.0,583,Ar,2014,17.3,515,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2020,AR,19.0,583,Ar,2005,14.3,400,/nchs/pressroom/states/arkansas/arkansas.htm
Ar,2019,AR,18.0,548,Ar,2021,20.6,618,/nchs/pressroom/states/arkansas/ar.htm
